prodi_id,nama_prodi,jenjang
624,Pendidikan Manajemen Perkantoran,S1
625,Manajemen Pemasaran Pariwisata,S1
626,Manajemen Industri Katering,S1
627,PGPAUD Kampus Purwakarta,S1
628,Ilmu Ekonomi Dan Keuangan Islam,S1
629,Survei Pemetaan Dan Informasi Geografis,D3
630,Ilmu Pendidikan Agama Islam,S1
631,Pendidikan Teknik Arsitektur,S1
632,Pendidikan Teknologi Agroindustri,S1
633,Pendidikan Multimedia Kampus Cibiru,S1
634,Pendidikan Sistem Dan Teknologi Informasi Kampus Purwakarta,S1
635,Sistem Informasi Kelautan,S1
636,Pendidikan Kelautan Dan Perikanan Kampus Serang,S1
637,Kepelatihan Fisik Olahraga,S1
638,Sains Informasi Geografi,S1
639,Pendidikan Pariwisata,S1
640,Kewirausahaan Kampus Tasikmalaya,S1
641,Film Dan Televisi,S1
642,Keperawatan,S1
643,Pendidikan Vokasional Kesejahteraan Keluarga,S1
644,Teknologi Pulp Dan Kertas,D3
645,PGMI,S1
646,Komputer Grafis,D3
647,Mekatronika,D3
648,Teknologi Elektromedis,D3
649,Teknologi Perancangan Mekanik,D3
650,Pendidikan Sosiologi Antropologi,S1
651,Komunikasi Terapan,D3
652,Manajemen Perdagangan,D3
653,Manajemen Bisnis,D3
654,Teknologi Hasil Pertanian,D3
655,Pendidikan Bahasa Jawa,S1
656,Pengelolaan Hutan,S1
657,Ilmu Lingkungan,S1
658,KESEHATAN LINGKUNGAN,S1
659,Kedokteran,S1
660,Agroteknologi Kampus Kab. Morowali,S1
661,Konservasi Sumberdaya Hutan,D3
662,Teknik Sipil Kampus Kab Tojo Una-una,S1
663,Manajemen Kampus Kab.Morowali,S1
664,Teknik Sipil Kampus Kab. Morowali,S1
665,Agroteknologi Kampus Kab. Tojo Una-una,S1
666,Manajemen Kampus Kab. Tojo Una-una,S1
667,Sains Data,S1
668,Informatika Medis,S1
669,Teknk Industri,S1
670,Sumber Daya Akuatik,S1
671,Keuangan Dan Perbankan Syariah,D3
672,Arsitektur Lansekap,S1
673,Manajemen Jasa,D3
674,Akuntansi Sektor Publik,D3
675,Teknik Mekatronika,S1
676,Hukum Bisnis Syariah,S1
677,Enterpreneurship,D3
678,Pendidikan Dokter Hewan,S1
679,Kesehatan Hewan Dan Masyarakat Veteriner,D3
